logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
52036,1970-01-02 09:00:03.728397,51.525,8,3.728397,51.525,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
52042,1970-01-02 09:00:03.728729,0.332,8,3.728728,0.331,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
53056,1970-01-02 09:00:03.787215,58.486000000000004,8,3.787214,58.486,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
53057,1970-01-02 09:00:03.787218,0.003,8,3.787218,0.004,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
53857,1970-01-02 09:00:03.836425,49.207,8,3.836425,49.207,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
53858,1970-01-02 09:00:03.836515,0.09000000000000001,8,3.836515,0.09,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
54883,1970-01-02 09:00:03.896453,59.937999999999995,8,3.896452,59.937,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
54884,1970-01-02 09:00:03.896466,0.013,8,3.896465,0.013,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
55647,1970-01-02 09:00:03.946494,50.028000000000006,8,3.946493,50.028,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
55648,1970-01-02 09:00:03.946594,0.1,8,3.946593,0.1,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
56660,1970-01-02 09:00:04.006259,59.665000000000006,8,4.006258,59.665,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
56661,1970-01-02 09:00:04.006461,0.202,8,4.00646,0.202,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
57419,1970-01-02 09:00:04.056169,49.708000000000006,8,4.056169,49.709,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
57423,1970-01-02 09:00:04.056456,0.287,8,4.056455,0.286,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
