2025-09-29 18:33:13,459,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269866, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,460,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269979, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,462,packetAnalyzer ,ERROR   ,<Size Error> logIndex:269986, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,462,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270004, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,464,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270006, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,465,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270069, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,466,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270074, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,466,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270083, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,467,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270200, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,467,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270236, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,467,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270349, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,468,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270350, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,474,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270353, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,475,packetAnalyzer ,ERROR   ,<Size Error> logIndex:270355, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
